DIM,Time,Time,Time
16,      0.0000,      0.0000,      0.0000
32,      0.0000,      0.0000,      0.0000
64,      0.0000,      0.0000,      0.0000
128,      0.0000,      0.0000,      0.0000
256,      0.0000,      0.0000,      0.0000
512,      0.0000,      0.0000,      0.0000
1024,      0.0000,      0.0000,      0.0000
2048,      0.0000,      0.0000,      0.0000
4096,      0.0000,      0.0000,      0.0000
8192,      0.0000,      0.0000,      0.0000
16384,      0.0000,      0.0000,      0.0000
32768,      0.0001,      0.0001,      0.0001
65536,      0.0001,      0.0001,      0.0001
131072,      0.0003,      0.0002,      0.0002
262144,      0.0005,      0.0006,      0.0005
524288,      0.0009,      0.0009,      0.0009
1048576,      0.0018,      0.0018,      0.0017
2097152,      0.0036,      0.0036,      0.0036
4194304,      0.0073,      0.0082,      0.0096
