DIM,Time,Time,Time
16,      0.0000,      0.0000,      0.0000
32,      0.0000,      0.0000,      0.0000
64,      0.0000,      0.0000,      0.0000
128,      0.0000,      0.0000,      0.0000
256,      0.0000,      0.0000,      0.0000
512,      0.0000,      0.0000,      0.0000
1024,      0.0000,      0.0000,      0.0000
2048,      0.0000,      0.0000,      0.0000
4096,      0.0000,      0.0000,      0.0000
8192,      0.0000,      0.0000,      0.0000
16384,      0.0001,      0.0001,      0.0001
32768,      0.0001,      0.0002,      0.0001
65536,      0.0003,      0.0003,      0.0002
131072,      0.0005,      0.0005,      0.0006
262144,      0.0010,      0.0012,      0.0010
524288,      0.0021,      0.0021,      0.0023
1048576,      0.0041,      0.0041,      0.0041
2097152,      0.0082,      0.0081,      0.0081
4194304,      0.0163,      0.0160,      0.0161
